universe,lambda,oos_sharpe
Tech,0.1,0.28362193787057915
Tech,0.25,0.2366925859196422
Tech,0.5,0.22912932068257622
Tech,1.0,0.16503352052697567
Tech,1.5,0.13001734929517503
Tech,2.0,0.1463126081323214
Tech,3.0,0.16486509572145855
Tech,5.0,0.1494442922779605
Tech,10.0,0.06627670357733806
Tech,25.0,-0.051549222469333036
