universe,lambda,oos_sharpe
DJ30,0.1,0.5548241722664924
DJ30,0.25,0.5316921493804034
DJ30,0.5,0.42733077277421855
DJ30,1.0,0.2852144849262482
DJ30,1.5,0.2597623357534098
DJ30,2.0,0.3289471195919656
DJ30,3.0,0.42528138178122715
DJ30,5.0,0.5677334080632822
DJ30,10.0,0.46532472838012273
DJ30,25.0,0.33732108774003383
