universe,lambda,oos_sharpe
ETFs,0.1,0.4907923204075123
ETFs,0.25,0.42675672017340005
ETFs,0.5,0.33835667184545365
ETFs,1.0,0.2751271881861125
ETFs,1.5,0.3063720699302107
ETFs,2.0,0.3258559197941508
ETFs,3.0,0.30147046391731586
ETFs,5.0,0.2311131538841733
ETFs,10.0,0.1440579899084361
ETFs,25.0,-0.021994063220427306
