Date,EW,GMV,GMR,MD,MV,MSV,SemiV,WUBC,WLBC,WUBC_Alt,FSD,SSD,SRF_LP,DMV,DMV_Yager,DMV_Return,DMV_Vars,EWMV,RP,HRP,CVaR,MAD
2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,0.0,0.0009557778504435918,0.0,0.0017825907233233963,0.06470065990827086,0.28523262473210165,2.4115703429047546e-08,0.0005137125094408474,0.025222403644117597,0.025222360587759403,2.073427124438254e-10,0.045446409263045634,0.007781068257354015,0.017055908706001786,2.0531840116966293e-11,0.030741936062376997,0.013447421856988143,0.0064700659908271535,0.0005788775874145669,0.0006048682163741241,0.0,0.012786128547505948
2021-04-23,0.0,0.0005648199790283434,0.0,0.0038330216603465694,0.05942122797705945,0.257544384729975,6.94980732379254e-09,0.004208733015689819,0.007858351936786571,0.007858353114860939,2.1902651914373905e-10,0.04544640926304569,0.005086635699957286,0.022350250480661325,2.6449731294064804e-11,0.04401223442503136,0.019025523448412653,0.005942122797705965,0.0003033998532250594,0.0007887630819213313,0.0,0.0026053895126230756
2021-04-26,0.0,0.0005940273803113213,0.0,0.0014460340029808184,0.040876671168717425,0.09784348198222612,2.032226281355356e-08,0.003843635985345825,0.011905388637932758,0.011905379810951022,2.7442062511262577e-11,0.00029340511576519956,0.01962944691051857,0.0186288857520343,2.338546023494814e-11,0.03576218274590038,0.009865568240621271,0.004087667116871738,0.00028910103345188704,0.00041410897068714855,0.0,0.00038248268829655166
2021-04-27,0.0,0.00023961826887310684,0.0,0.0023179514691867706,0.03546355555747572,0.13017828326836642,9.419320744172263e-09,0.0009065261502776176,0.013247625639846036,0.013247395544028658,3.2256447513034914e-11,0.004485614550978068,0.03089287731338301,0.01623452036187393,1.992374321080348e-11,0.03013366288800604,0.009737065506050654,0.0035463555557474075,0.00017543852206002714,0.00020169566509602253,0.0,0.016151672857019697
2021-04-28,0.0,0.0025133611235335436,0.0,0.0031908950252602115,0.07655203278377412,0.16522126707045962,1.3511836758526916e-08,0.00908628575314874,0.026552639488146512,0.0265526963343033,1.2614909117303341e-14,0.003071348357145287,0.027383170076023016,0.024474598235763,3.0543956253126225e-11,0.048575847874222707,0.013336071581726255,0.00765520327837757,0.0007796932938989587,0.0007579324440735785,0.09258855169084321,0.027119431248766614
2021-04-29,0.0,0.002562209622334711,0.0,0.0032509291575083714,0.048465335688725866,0.12422969469629554,3.5623408588616213e-09,0.01859736293099004,0.027421534957006256,0.016032491536755587,5.162537064506978e-15,0.7138027809474683,0.006694083389038258,0.03160399005083689,3.998502917657021e-11,0.03568446224214249,0.020062572323046497,0.00484653356887263,0.0009293211930002238,0.0016020071006967035,4.428402089473593e-14,0.009045748160579997
2021-04-30,0.0,0.0005043341768278973,0.0,0.004292708001050475,0.04020581970813146,0.10131540000803395,3.4280357166562396e-08,0.016435529479800343,0.009118537856994673,6.502032928824841e-06,4.9682480351975755e-15,0.036259115329935726,0.013476120095619624,0.02081974367095899,2.6826138532776156e-11,0.027016500206861447,0.015274339272317057,0.00402058197081305,0.00022892066189061575,0.0008849605875696116,0.0,0.01062070485113429
2021-05-03,0.0,0.0014083221297166927,0.0,0.0020318262446533406,0.018219816407220483,0.22455845551188994,1.9492556927903496e-08,0.0032744520952268327,0.008956604663819555,6.442493717458142e-06,4.5102810375396984e-15,0.03434043349043445,0.01983161463211133,0.014642716345519342,1.7528228868357587e-11,0.02882988929514758,0.011779751608119303,0.0018219816407255424,0.0009759162099592759,0.001440570618549293,0.0,0.0016416798310843334
2021-05-04,0.0,0.0026089949851518896,0.0,0.005653434966227007,0.0752943918169366,0.12834096187908278,3.21082717399574e-07,0.0012726448841051188,0.00046435422817581173,9.37611667056748e-08,2.552566075175733e-10,0.002813436351886023,0.015661873006235838,0.022471635339013418,2.654265696122593e-11,0.03446563747131852,0.015297573857292447,0.0075294391816937145,0.000930408963934419,0.0006171635088318495,1.5841494782620202e-14,0.003130419197914392
