Date,EW,GMV,GMR,MD,MV,MSV,SemiV,WUBC,WLBC,WUBC_Alt,FSD,SSD,SRF_LP,DMV,DMV_Yager,DMV_Return,DMV_Vars,EWMV,RP,HRP,CVaR,MAD
2021-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-15,0.0,0.08234122343363444,0.0,0.030362759479471632,0.05825151041962938,0.008207044981309395,2.8292760520753352e-06,0.020095497070014734,0.01952942427571465,0.019526961933849167,5.926481527751548e-11,5.617034615212901e-15,0.0028741923078262344,0.016948202873612282,1.4906709200346313e-10,0.05819644698515723,0.015535710810405095,0.02912575520981471,0.01080287434604238,0.06629325890812553,6.8486882831564344e-15,0.03268385568027358
2021-06-16,0.0,0.014721319885807502,2.0,0.006203895829976967,0.0509790356027278,0.0,1.9999968276006377,0.036633489403601345,0.023939744062507214,0.023947115661925436,1.70865821491617e-11,6.189493362285248e-15,0.06359306139332668,0.02155898253148729,1.5294725208558901e-10,0.0382589690467171,0.01753933713130328,0.025489517801370695,0.0014771316005767893,0.1650834219192278,1.8186840922140846e-14,0.0494185962171146
2021-06-17,0.0,0.02700605418167597,0.0,0.00842544894151406,0.03997399046046858,0.023737473182514415,2.5134317840732294e-06,0.020847452161498088,0.006911978681882001,0.006912688494204858,9.774074605228833e-11,0.11723966017113675,0.14085828988907767,0.015762803756586292,1.6680583303507746e-10,0.03833954237457518,0.01549882694030897,0.019986995230234103,0.0024238492025127414,0.003468012838913837,0.0,0.07407697611511446
2021-06-18,0.0,0.006023075275107053,0.0,0.006252740384882888,0.055329905235650303,0.023737473182514415,2.9315710235766033e-07,0.024788757337718268,0.0016890423027984339,0.0016848113583769059,9.35465316320716e-11,0.11723966017110996,0.11020175158621053,0.02311747485739861,2.0172499781700992e-10,0.05599177153734809,0.021755973711503215,0.027664952617824583,0.0018666257767203445,0.0025229189164968392,1.8802667756112612e-14,0.01674966559277495
2021-06-21,0.0,0.03849764290668282,0.0,0.020381949154922398,0.0764407912684327,0.0,3.1723714741346736e-07,0.045436129844382056,0.026051159285139375,0.026056897836987315,5.108112544061072e-11,1.2601031329495527e-14,0.0538939663360222,0.034082172602366,6.046480677257549e-10,0.06171132971440744,0.03248438697515968,0.03822039563421594,0.0043023944564193894,0.006654382919952309,7.202571872255703e-15,0.09172792556988885
2021-06-22,0.0,0.02805108015189246,0.0,0.019970184001792093,0.020427367481458604,0.1999999999999999,5.601870987247516e-06,0.007998587141011837,0.009149231138961586,0.009149400945012633,6.38378239159465e-16,7.43537176273179e-14,0.018585973561195027,0.016229395402693338,3.4110184121693976e-10,0.06057302327427544,0.011548994679823739,0.010213683740741358,0.004544593170350837,0.045824428914812664,0.0,0.015808594492473182
2021-06-23,0.0,0.014988033780845789,0.0,0.010108844791436571,0.0403709382589873,0.002260185615499388,4.423695908088044e-06,0.024131485443338128,0.029430666934532675,0.02943077748899435,0.0,7.693151671261944e-14,0.10865813887729003,0.026680659109218845,1.4727474795250828e-10,0.05036774025020096,0.022282550146558763,0.020185469129494607,0.002515973717197681,0.0036382144152117997,8.465450562766819e-16,0.04178047399008925
2021-06-24,0.0,0.029403183362058195,2.0,0.011357300659013343,0.03907093568805298,0.002260185615499388,1.9999980278319476,0.009392999023090414,0.007431704534858363,0.007431703705524928,7.871560347982864e-11,1.7052331768852014e-14,0.0,0.020121684851248305,3.8086020448524494e-10,0.07314546137247195,0.017909784134699486,0.019535467844027682,0.003670226884813249,0.22002326474632694,0.0,0.03796856500678192
2021-06-25,0.0,0.01166719572022226,2.0,0.00538457140174481,0.030509514389237602,0.06205971888622999,1.9999987035415616,0.036877318078894696,0.006800375969650989,0.006800375101457069,6.401812413514563e-11,2.439368151918586e-14,0.06360652358361885,0.0288967284273595,3.4626709832785707e-10,0.05287756736803495,0.027902297061687672,0.015254757194620529,0.0006951535116689195,0.07199404072505698,6.522560269672795e-16,0.015720096709230913
2021-06-28,0.0,0.001868886271276461,0.0,0.005307214598572114,0.04194806896552054,0.08485343889645629,5.338524232583378e-07,0.015134954983044088,0.02391382706055497,0.023913991815209153,2.1329438215644814e-11,1.3645334862033565e-14,0.09549576219765317,0.025911998867458676,2.2741844518670007e-10,0.052181001414636635,0.02223479931265087,0.020974034482761243,0.0006684527331392506,0.07237987315104288,8.31799906730879e-15,0.023399307123151386
2021-06-29,0.0,0.03926866157712256,0.0,0.034506753247862475,0.0968879540699189,0.29424997047309276,3.6637231815222363e-07,0.06590188729695287,0.017409364165569777,0.017409488252394856,5.156429450092759e-11,0.0797749468344576,0.10289271334235933,0.05556451887696121,2.646819707852188e-10,0.12120154229277454,0.058902765722699604,0.04844397703495998,0.00927438481686449,0.0794681034579288,0.09385189659184667,0.020140111239308006
2021-06-30,0.0,0.03493567645770318,0.0,0.033394855077803653,0.024561958829439505,0.011731836742543314,2.311304395600273e-08,0.01777860537382326,0.009342333076172375,0.009342465918695253,8.814086960295953e-11,4.50195436485501e-14,0.02575365868048772,0.018393761140178426,3.8178724071080694e-10,0.05307500731084404,0.01792441841879097,0.012280979414722476,0.0069478170266317335,0.008210150130972274,0.0,0.029098699227021976
2021-07-01,0.0,0.001539452307873402,0.0,0.005750040310731518,0.03035375031732352,0.011731836742543314,1.2584198254478816e-08,0.02901402918120971,0.015569246184428509,0.015569227560923708,8.895852110502034e-11,2.963601586358777e-14,0.0555242567635071,0.024010708229642897,1.777107350164897e-10,0.05532483877591156,0.02847520019913201,0.015176875158663707,0.00046757893196243405,0.0008731528959263282,2.1963333929342355e-14,0.04152014747397043
2021-07-02,0.0,0.01247428215064071,0.0,0.0044365725170788396,0.04110070384616508,0.06457593732703604,2.103168160041193e-08,0.010873238485781122,0.017645198559392478,0.017644954815775736,7.957437486716401e-11,0.25262935264200004,0.055317181850994226,0.015636174808821054,1.9578537402420437e-10,0.04399197925482703,0.018065362078657846,0.02055035192308257,0.0019495401584917818,0.18859652038703112,3.1948402257064856e-14,0.03135805117616984
2021-07-06,0.0,0.010808146847418565,0.0,0.0031146265402270854,0.048487884196199225,0.06457593732703604,7.0837800959063975e-09,0.004470048213810822,0.022428979833147254,0.022429045910464795,3.8580791339448695e-11,1.5487611193520934e-14,0.03462027513798185,0.02050316771680198,1.704339169794622e-10,0.047075627405067266,0.01893556467560825,0.024243942098100296,0.0011706823867570215,0.00202748267997864,0.0,0.06498548886908023
2021-07-07,0.0,0.0176056324208044,0.0,0.011402305763081032,0.05271069168526576,0.0,1.36994023644426e-08,0.03554092530442742,0.03684831795090771,0.03684807318384211,5.477435172096534e-11,1.3322676295501878e-15,0.1672018608315654,0.036237785367897686,5.617510900890466e-10,0.05148244672839329,0.03398221781162199,0.02635534584263286,0.0027495275673631303,0.004624741574445278,1.2009490624187436e-14,0.07112499741871181
2021-07-08,0.0,0.07929837538970856,0.0,0.02201847998764471,0.037154484218776596,0.0,7.050577880120308e-09,0.008230302319276746,0.017666603862963155,0.01766701938197144,2.8513788552508856e-11,0.3614526980455889,0.2114306178032623,0.020452534114076392,3.2549371531409577e-10,0.06442434901295606,0.024435159184125456,0.018577242109388624,0.008410120270018973,0.012864414005085641,0.0,0.06833981171124116
2021-07-09,0.0,0.0064891556855611,0.0,0.007589793613424805,0.07075198336798769,0.0,4.61250463879686e-09,0.029550973391450252,0.03741440998420453,0.03741476354789806,8.360676040375381e-11,3.011479954295737e-15,0.06722697339014154,0.02667572745654864,4.967871253258593e-10,0.06170687280796397,0.024066494987246955,0.03537599168399392,0.0007127674601448558,0.003196821246881122,1.2819606487468604e-15,0.1125908672727531
2021-07-12,0.0,0.09383841703930194,0.0,0.016076089701254424,0.042724784675877744,0.0,2.536341672530715e-09,0.033434719706772295,0.023194505026492222,0.023194366985391582,9.942097145554385e-11,0.16160883209461793,0.2308705379046207,0.040553373502473455,2.886306194049837e-10,0.09459300584688753,0.03718383464570972,0.021362392337940676,0.007581632630328822,0.007948643296453485,0.24882440860134633,0.1826118989006255
2021-07-13,0.0,0.013122001793657368,0.0,0.007138739705878493,0.038377105057548995,0.0,8.088197998525553e-09,0.01975560953461232,0.027528040988327687,0.027525690186590193,4.9739878882348876e-11,1.201816424156732e-14,0.22267891690329894,0.01998307699656433,2.7474805763816335e-10,0.049682203726212876,0.020645978610301707,0.0191885525287755,0.0017449105234798867,0.2123166224067948,1.4360387878831204e-13,0.12706744517328683
2021-07-14,0.0,0.00391876880197813,0.0,0.0016347818564207174,0.02164637829500954,0.0,1.1246325573014534e-09,0.012590150511789999,0.011925689703611596,0.011926849017032386,5.060944718859872e-11,5.07788255887931e-14,0.00457773577134226,0.014409990630155769,7.793278522516545e-11,0.028505677743188268,0.01493707526873014,0.01082318914750479,0.0006574862477606927,0.0011805204224002164,0.0,0.07089158270915004
2021-07-15,0.0,0.005566057061798406,0.0,0.0026418248087336014,0.04404792017730889,0.0,6.949748239023968e-09,0.005681945922994551,0.009888196802763913,0.009887832638247704,1.3725355574312204e-10,2.248201624865942e-14,0.18248302319472612,0.019696528713483784,1.3798025222389043e-10,0.06347238449403192,0.016903780909294834,0.02202396008865514,0.0009108178946276232,0.06816801162401032,0.0,0.08652084694270762
2021-07-16,0.0,0.00504505472625392,0.0,0.023817608977801094,0.0756339051314342,0.1918078411668873,8.71075805692524e-09,0.021848621226292494,0.009786804296496192,0.009786804139595533,1.2543610594661914e-10,0.9846812009621084,0.12738195920550227,0.038621106108784456,4.797467006989464e-10,0.08285727140467258,0.048020069575838056,0.03781695256571704,0.003408195408139636,0.1151356141549616,1.3095427520148917e-13,0.07726236706994466
2021-07-19,0.0,0.027639199004644874,0.0,0.016431620528376573,0.07312137203448534,0.11926175335910831,1.3146967896850725e-08,0.004874308777619929,0.014512698738552966,0.014512702344157705,3.563284389773713e-11,4.8155923693116165e-15,0.12243042746423374,0.025154747757918712,1.660822174232024e-10,0.09468786563594525,0.030040058423578764,0.03656068601724285,0.003510190789727155,0.07079689293780674,1.4445042384458873e-14,0.06145417507850528
2021-07-20,0.0,0.010540122784903589,0.0,0.010845272475593193,0.07975155655122992,0.11024238782588074,9.765549017574403e-09,0.01977623983394354,0.01178974385312962,0.011789744750760542,5.6158216965584984e-11,5.009881398621019e-15,0.15536344980335642,0.024190582302322683,1.2516088165881456e-10,0.05985804272800163,0.027758297824409056,0.03987577827561473,0.0019474666327722115,0.0024094220135720545,1.2254086634300165e-14,0.028231250078730667
